tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length
1310764	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_calcoaceticus/baumannii_complex|Acinetobacter_sp._826659	species	Acinetobacter_sp._826659	Bacteria	0.43283579339432326	1.15349479496504E-5	54	0	3915256
1851429	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella|Christensenella_sp._AF73-05CM02	species	Christensenella_sp._AF73-05CM02	Bacteria	0.25	6.662427256300058E-6	1	0	3026655
59	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Vitreoscilla	genus	Vitreoscilla	Bacteria	41.00192325224338	0.0010926893241458779	310	7	0
61	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Vitreoscilla|Vitreoscilla_stercoraria	species	Vitreoscilla_stercoraria	Bacteria	2.770938685003335	7.384470968200983E-5	24	0	0
1310761	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_calcoaceticus/baumannii_complex|Acinetobacter_sp._88816	species	Acinetobacter_sp._88816	Bacteria	0.42428878484731475	1.1307172658836725E-5	53	0	4106183
68	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter	genus	Lysobacter	Bacteria	5.913273001508295	1.575870048767685E-4	12	3	0
69	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|Lysobacter_enzymogenes	species	Lysobacter_enzymogenes	Bacteria	0.08476621417797889	2.2589949430109397E-6	3	0	6157384
180295	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Atopostipes|Atopostipes_suicloacalis	species	Atopostipes_suicloacalis	Bacteria	0.12299031487627977	3.2776561043706116E-6	12	0	0
1917019	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_sp._VT-16-64	species	Bacillus_sp._VT-16-64	Bacteria	1.1551589471217683	3.0784649818651784E-5	4	1	4831386
458817	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella_halifaxensis|Shewanella_halifaxensis_HAW-EB4	no_rank	Shewanella_halifaxensis_HAW-EB4	Bacteria	0.07440768972573103	1.982943280428113E-6	8	0	5226917
